 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,509,36.902,11.439,30,11,90,820.221,20.512,821.039,19.876,86.083,807,8,26,25,27.673,23.419,39.630,0.863,29.206,18783,33,0.760,0.767,100,18783,809,30,38.047,24.824,1.182,0.846,0.939
2,367,101.357,21.309,90,56,165,269.396,28.723,270.106,28.807,72.669,260,15,19,27,25.774,18.130,83.736,0.873,27.295,37198,97,0.486,-0.322,100,37198,267,42,81.573,19.000,1.422,0.703,0.933
3,893,31.681,8.248,30,7,67,208.071,63.025,208.480,63.429,128.225,191,42,35,41,46.070,24.680,126.408,0.683,45.804,28291,30,0.135,0.114,100,28291,195,43,126.119,28.462,1.867,0.536,0.872
4,584,146.389,25.221,135,90,218,71.877,57.755,71.807,57.036,89.841,59,44,26,28,28.929,25.703,111.774,0.909,30.000,85491,143,0.330,-0.370,100,85491,63,45,126.870,25.691,1.126,0.888,0.953
5,764,91.238,46.860,33,11,188,311.255,72.679,314.202,76.406,163.823,293,49,42,48,54.141,17.967,131.701,0.358,58.412,69706,97,-0.016,-1.420,100,69706,296,50,128.047,24.749,3.013,0.332,0.710
6,374,32.115,8.251,33,11,60,508.251,61.821,508.291,61.623,74.912,496,50,25,23,28.897,16.479,40.450,0.837,29.206,12011,33,0.149,-0.067,100,12011,497,71,38.047,16.971,1.754,0.570,0.937
7,884,87.196,20.017,82,30,158,781.058,72.074,780.908,71.848,163.137,760,58,44,35,43.815,25.689,15.148,0.417,50.000,77081,86,0.534,0.165,100,77081,762,91,36.870,31.184,1.706,0.586,0.776
8,368,85.204,13.914,90,41,128,864.179,72.524,863.893,72.486,73.497,852,61,24,22,26.560,17.641,37.481,0.856,27.459,31355,86,-0.095,0.717,100,31355,852,79,33.111,18.385,1.506,0.664,0.935
9,452,92.409,30.512,71,41,188,747.626,76.896,746.135,76.030,82.083,737,62,22,29,29.735,19.355,111.140,0.843,31.016,41769,82,0.710,-0.339,100,41769,742,62,110.772,20.125,1.536,0.651,0.940
10,725,101.909,37.816,52,30,195,646.728,78.532,644.289,76.928,106.569,631,63,32,31,36.683,25.164,142.414,0.802,39.205,73884,109,-0.113,-1.186,100,73884,636,63,127.747,27.799,1.458,0.686,0.926
11,361,53.806,11.623,45,26,90,598.880,72.536,599.105,72.867,74.184,585,64,27,17,28.011,16.409,165.866,0.824,28.460,19424,52,0.323,-0.020,100,19424,585,69,161.565,17.000,1.707,0.586,0.941
12,2501,86.141,39.033,52,15,218,681.225,110.767,684.971,111.606,335.990,651,64,55,93,80.946,39.339,79.410,0.278,93.086,215439,79,0.560,-0.489,100,215439,671,157,87.537,50.315,2.058,0.486,0.680
13,738,34.072,11.585,30,7,75,185.049,103.466,184.274,103.581,148.267,169,80,29,46,43.543,21.580,75.408,0.422,46.174,25145,33,0.744,0.682,100,25145,183,126,85.030,27.316,2.018,0.496,0.748
14,2100,85.670,37.912,71,18,199,302.209,115.337,302.908,111.364,305.262,273,84,63,65,60.850,43.941,35.315,0.283,72.422,179908,75,0.643,-0.638,100,179908,276,148,35.446,50.800,1.385,0.722,0.761
15,479,32.781,8.710,30,11,60,211.999,103.957,212.173,103.547,85.255,202,87,21,31,30.393,20.066,87.788,0.828,31.780,15702,33,0.233,0.032,100,15702,206,118,77.276,21.000,1.515,0.660,0.942
16,860,65.215,28.770,79,7,139,847.028,103.455,843.104,101.557,161.095,825,87,45,31,43.930,24.926,174.805,0.416,47.434,56085,71,0.019,-0.874,100,56085,825,98,161.565,30.873,1.762,0.567,0.763
17,1112,80.610,15.651,86,37,131,618.705,117.990,618.775,119.174,156.267,603,92,33,54,56.770,24.940,73.846,0.572,55.082,89638,82,-0.211,-0.173,100,89638,613,146,74.197,29.232,2.276,0.439,0.848
18,490,119.894,22.169,135,45,192,740.735,113.531,740.398,114.080,85.154,726,99,27,27,28.738,21.710,51.798,0.849,30.000,58748,120,-0.366,0.271,100,58748,726,120,36.870,22.235,1.324,0.755,0.925
19,692,101.062,26.846,97,41,218,556.408,124.682,557.269,125.992,123.640,544,102,25,44,44.642,19.737,98.120,0.569,45.607,69935,97,1.314,2.827,100,69935,553,102,105.255,23.558,2.262,0.442,0.843
20,520,79.433,27.948,60,18,150,155.562,142.819,156.055,139.526,116.468,144,118,21,45,46.496,14.240,78.410,0.482,45.891,41305,79,0.231,-0.767,100,41305,152,163,78.690,18.687,3.265,0.306,0.799
21,1328,29.547,8.017,30,7,60,251.239,143.998,251.655,144.057,226.108,228,118,45,52,45.003,37.572,130.766,0.326,55.362,39238,30,0.196,0.032,100,39238,245,118,110.072,44.362,1.198,0.835,0.754
22,462,149.175,36.280,139,64,233,715.708,139.171,715.870,139.654,83.740,704,126,25,26,27.135,21.678,129.652,0.828,28.425,68919,150,0.004,-0.678,100,68919,706,128,140.711,22.627,1.252,0.799,0.930
23,492,68.447,21.391,52,26,146,90.917,154.445,90.979,156.445,121.397,83,130,16,47,47.708,13.131,86.755,0.420,47.265,33676,64,0.613,-0.084,100,33676,86,177,83.928,15.674,3.633,0.275,0.797
24,396,82.684,36.396,45,26,150,113.144,144.341,110.644,144.070,90.326,100,134,25,24,26.879,18.758,150.118,0.610,30.232,32743,79,0.171,-1.555,100,32743,100,138,145.784,22.176,1.433,0.698,0.846
25,1492,114.218,49.603,90,18,244,630.040,172.337,626.259,176.374,244.149,603,147,54,50,53.031,35.822,50.622,0.315,60.415,170414,105,0.472,-0.682,100,170414,604,191,28.686,45.219,1.480,0.675,0.736
26,769,87.676,18.288,79,41,146,738.389,162.990,739.222,163.017,118.125,719,147,37,34,36.528,26.805,151.889,0.693,37.855,67423,86,0.493,0.017,100,67423,719,158,167.800,30.228,1.363,0.734,0.874
27,516,161.566,32.030,143,82,244,772.264,183.112,772.669,182.180,84.569,759,170,27,26,28.963,22.684,136.342,0.907,29.682,83368,161,-0.066,-0.732,100,83368,759,176,147.381,22.627,1.277,0.783,0.950
28,350,33.140,8.341,33,11,56,865.137,186.854,864.966,186.942,73.255,855,174,20,24,24.113,18.481,105.597,0.820,25.298,11599,33,0.200,0.186,100,11599,864,174,108.435,19.499,1.305,0.766,0.915
29,3306,153.369,37.658,146,64,255,579.589,222.469,577.422,220.546,560.583,527,175,107,101,69.748,60.351,40.603,0.132,114.769,507039,150,0.199,-0.746,100,507039,527,253,22.543,82.413,1.156,0.865,0.480
30,671,173.435,36.236,199,52,255,139.855,200.327,139.907,200.279,106.225,129,180,25,38,38.577,22.146,103.997,0.747,38.833,116375,176,-0.499,0.126,100,116375,135,180,101.889,24.350,1.742,0.574,0.933
31,435,52.520,15.010,45,18,101,704.771,200.585,705.352,202.312,92.669,696,183,17,35,36.684,15.098,97.536,0.637,35.355,22846,52,0.378,-0.346,100,22846,700,183,98.130,16.183,2.430,0.412,0.886
32,695,33.142,9.076,30,3,64,95.713,206.061,95.278,205.731,137.882,83,185,29,46,43.177,20.495,69.682,0.459,47.297,23034,33,0.404,0.513,100,23034,89,231,76.551,26.705,2.107,0.475,0.762
33,398,30.862,8.343,33,3,56,193.932,198.085,193.640,198.125,76.184,182,188,25,21,27.341,18.534,26.442,0.862,28.653,12283,30,-0.057,0.280,100,12283,182,206,29.249,18.974,1.475,0.678,0.945
34,360,155.119,47.743,169,45,255,167.381,198.753,166.243,199.383,70.184,156,189,22,21,22.392,20.470,136.804,0.918,23.854,55843,161,-0.194,-0.603,100,55843,157,192,146.976,21.000,1.094,0.914,0.945
35,350,148.606,47.694,146,41,255,533.123,216.946,534.049,216.300,82.083,523,201,19,31,33.180,13.431,69.598,0.653,32.573,52012,146,0.012,-0.847,100,52012,528,232,72.121,15.059,2.470,0.405,0.883
36,461,116.477,31.738,97,48,218,672.819,219.654,672.605,219.196,90.912,660,205,26,30,35.375,16.593,50.930,0.701,35.228,53696,112,0.587,0.144,100,53696,662,234,55.408,18.053,2.132,0.469,0.884
37,856,29.472,7.996,30,7,52,234.215,225.693,234.405,225.784,140.267,211,206,40,35,42.751,25.494,30.782,0.547,46.400,25228,30,-0.017,0.009,100,25228,212,238,37.117,30.365,1.677,0.596,0.845
38,711,175.422,34.393,199,71,255,163.352,235.148,162.491,235.062,103.983,147,220,32,30,32.908,27.509,20.554,0.826,33.601,124725,176,-0.207,0.016,100,124725,154,248,53.471,28.619,1.196,0.836,0.920
39,1019,74.286,25.956,82,15,139,702.499,242.082,706.135,242.050,185.480,674,224,54,35,52.958,24.499,10.167,0.372,56.859,75697,82,-0.351,-0.790,100,75697,675,250,23.860,32.948,2.162,0.463,0.706
