 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,509,51.295,18.986,44,8,97,820.221,20.512,820.118,21.814,86.083,807,8,26,25,27.673,23.419,39.630,0.863,29.206,26109,52,0.099,-0.779,100.000,26109,809,30,38.047,24.824,1.182,0.846,0.939
2,367,70.381,24.751,88,17,132,269.396,28.723,269.264,30.144,72.669,260,15,19,27,25.774,18.130,83.736,0.873,27.295,25830,70,-0.326,-0.948,100.000,25830,267,42,81.573,19.000,1.422,0.703,0.933
3,893,74.726,31.214,88,0,158,208.071,63.025,208.821,64.785,128.225,191,42,35,41,46.070,24.680,126.408,0.683,45.804,66730,79,-0.500,-0.556,99.888,66730,195,43,126.119,28.462,1.867,0.536,0.872
4,584,111.223,46.065,114,8,238,71.877,57.755,71.483,59.371,89.841,59,44,26,28,28.929,25.703,111.774,0.909,30.000,64954,114,-0.013,-0.338,100.000,64954,63,45,126.870,25.691,1.126,0.888,0.953
5,764,60.551,26.034,79,0,141,311.255,72.679,311.788,73.083,163.823,293,49,42,48,54.141,17.967,131.701,0.358,58.412,46261,61,0.187,-0.635,99.869,46261,296,50,128.047,24.749,3.013,0.332,0.710
6,374,25.037,8.095,26,8,44,508.251,61.821,507.900,62.328,74.912,496,50,25,23,28.897,16.479,40.450,0.837,29.206,9364,26,-0.099,-0.396,100.000,9364,497,71,38.047,16.971,1.754,0.570,0.937
7,884,41.483,15.223,44,8,132,781.058,72.074,779.700,72.613,163.137,760,58,44,35,43.815,25.689,15.148,0.417,50.000,36671,44,1.412,4.751,100.000,36671,762,91,36.870,31.184,1.706,0.586,0.776
8,368,26.318,7.071,26,8,44,864.179,72.524,863.754,72.776,73.497,852,61,24,22,26.560,17.641,37.481,0.856,27.459,9685,26,-0.062,0.348,100.000,9685,852,79,33.111,18.385,1.506,0.664,0.935
9,452,36.064,11.076,35,8,70,747.626,76.896,747.192,77.931,82.083,737,62,22,29,29.735,19.355,111.140,0.843,31.016,16301,35,0.022,-0.216,100.000,16301,742,62,110.772,20.125,1.536,0.651,0.940
10,725,54.512,26.882,44,8,141,646.728,78.532,648.074,80.354,106.569,631,63,32,31,36.683,25.164,142.414,0.802,39.205,39521,44,1.035,0.364,100.000,39521,636,63,127.747,27.799,1.458,0.686,0.926
11,361,26.177,8.025,26,0,44,598.880,72.536,599.661,72.912,74.184,585,64,27,17,28.011,16.409,165.866,0.824,28.460,9450,26,0.067,-0.102,99.723,9450,585,69,161.565,17.000,1.707,0.586,0.941
12,2501,51.022,23.242,35,8,158,681.225,110.767,680.144,110.802,335.990,651,64,55,93,80.946,39.339,79.410,0.278,93.086,127607,44,0.740,0.143,100.000,127607,671,157,87.537,50.315,2.058,0.486,0.680
13,738,76.663,50.411,44,0,229,185.049,103.466,186.918,101.597,148.267,169,80,29,46,43.543,21.580,75.408,0.422,46.174,56577,61,0.460,-0.995,98.780,56577,183,126,85.030,27.316,2.018,0.496,0.748
14,2100,43.380,16.093,35,17,132,302.209,115.337,300.190,117.351,305.262,273,84,63,65,60.850,43.941,35.315,0.283,72.422,91097,44,1.328,2.681,100.000,91097,276,148,35.446,50.800,1.385,0.722,0.761
15,479,83.215,38.483,114,0,158,211.999,103.957,211.941,105.256,85.255,202,87,21,31,30.393,20.066,87.788,0.828,31.780,39860,97,-0.516,-0.921,99.791,39860,206,118,77.276,21.000,1.515,0.660,0.942
16,860,41.963,17.322,35,0,105,847.028,103.455,844.503,104.217,161.095,825,87,45,31,43.930,24.926,174.805,0.416,47.434,36088,44,0.412,-0.183,99.884,36088,825,98,161.565,30.873,1.762,0.567,0.763
17,1112,96.191,34.914,114,17,185,618.705,117.990,617.660,118.661,156.267,603,92,33,54,56.770,24.940,73.846,0.572,55.082,106964,97,-0.162,-0.877,100.000,106964,613,146,74.197,29.232,2.276,0.439,0.848
18,490,71.014,29.193,88,8,141,740.735,113.531,739.710,114.574,85.154,726,99,27,27,28.738,21.710,51.798,0.849,30.000,34797,79,-0.280,-0.959,100.000,34797,726,120,36.870,22.235,1.324,0.755,0.925
19,692,87.296,48.662,44,8,220,556.408,124.682,555.951,128.893,123.640,544,102,25,44,44.642,19.737,98.120,0.569,45.607,60409,70,0.343,-1.181,100.000,60409,553,102,105.255,23.558,2.262,0.442,0.843
20,520,50.067,24.013,35,0,123,155.562,142.819,155.329,146.296,116.468,144,118,21,45,46.496,14.240,78.410,0.482,45.891,26035,44,0.642,-0.254,99.423,26035,152,163,78.690,18.687,3.265,0.306,0.799
21,1328,80.934,38.001,88,0,203,251.239,143.998,251.568,145.266,226.108,228,118,45,52,45.003,37.572,130.766,0.326,55.362,107481,88,-0.125,-0.436,99.021,107481,245,118,110.072,44.362,1.198,0.835,0.754
22,462,83.764,33.988,105,17,185,715.708,139.171,714.588,140.381,83.740,704,126,25,26,27.135,21.678,129.652,0.828,28.425,38699,88,0.131,-0.884,100.000,38699,706,128,140.711,22.627,1.252,0.799,0.930
23,492,89.783,61.664,61,8,255,90.917,154.445,90.336,160.467,121.397,83,130,16,47,47.708,13.131,86.755,0.420,47.265,44173,61,1.054,0.043,100.000,44173,86,177,83.928,15.674,3.633,0.275,0.797
