 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,509,113.240,35.055,137,43,181,820.221,20.512,820.195,20.823,86.083,807,8,26,25,27.673,23.419,39.630,0.863,29.206,57639,121,-0.412,-0.849,100,57639,809,30,38.047,24.824,1.182,0.846,0.939
2,367,160.229,57.639,209,43,243,269.396,28.723,269.223,28.986,72.669,260,15,19,27,25.774,18.130,83.736,0.873,27.295,58804,181,-0.693,-0.854,100,58804,267,42,81.573,19.000,1.422,0.703,0.933
3,893,134.899,40.994,149,43,234,208.071,63.025,207.605,62.011,128.225,191,42,35,41,46.070,24.680,126.408,0.683,45.804,120465,143,-0.480,-0.479,100,120465,195,43,126.119,28.462,1.867,0.536,0.872
4,584,95.844,30.100,84,43,181,71.877,57.755,71.027,57.848,89.841,59,44,26,28,28.929,25.703,111.774,0.909,30.000,55973,90,0.627,-0.206,100,55973,63,45,126.870,25.691,1.126,0.888,0.953
5,764,124.846,57.789,255,43,255,311.255,72.679,309.766,71.427,163.823,293,49,42,48,54.141,17.967,131.701,0.358,58.412,95382,121,0.523,-0.444,100,95382,296,50,128.047,24.749,3.013,0.332,0.710
6,374,73.805,12.936,78,43,99,508.251,61.821,508.058,61.786,74.912,496,50,25,23,28.897,16.479,40.450,0.837,29.206,27603,74,-0.486,-0.314,100,27603,497,71,38.047,16.971,1.754,0.570,0.937
7,884,106.645,35.207,134,43,199,781.058,72.074,781.998,71.666,163.137,760,58,44,35,43.815,25.689,15.148,0.417,50.000,94274,112,-0.117,-0.891,100,94274,762,91,36.870,31.184,1.706,0.586,0.776
8,368,87.429,23.122,103,43,156,864.179,72.524,864.843,71.943,73.497,852,61,24,22,26.560,17.641,37.481,0.856,27.459,32174,87,0.118,-0.223,100,32174,852,79,33.111,18.385,1.506,0.664,0.935
9,452,129.907,47.026,143,43,224,747.626,76.896,747.630,77.467,82.083,737,62,22,29,29.735,19.355,111.140,0.843,31.016,58718,137,-0.216,-0.958,100,58718,742,62,110.772,20.125,1.536,0.651,0.940
10,725,109.679,37.198,140,43,209,646.728,78.532,647.740,78.848,106.569,631,63,32,31,36.683,25.164,142.414,0.802,39.205,79517,109,0.158,-0.654,100,79517,636,63,127.747,27.799,1.458,0.686,0.926
11,361,71.380,12.704,71,43,103,598.880,72.536,599.059,72.653,74.184,585,64,27,17,28.011,16.409,165.866,0.824,28.460,25768,71,-0.352,-0.300,100,25768,585,69,161.565,17.000,1.707,0.586,0.941
12,2501,104.913,48.338,53,34,255,681.225,110.767,681.599,106.180,335.990,651,64,55,93,80.946,39.339,79.410,0.278,93.086,262388,99,0.716,-0.079,100,262388,671,157,87.537,50.315,2.058,0.486,0.680
13,738,118.802,39.702,159,34,212,185.049,103.466,185.938,102.507,148.267,169,80,29,46,43.543,21.580,75.408,0.422,46.174,87676,121,-0.173,-0.829,100,87676,183,126,85.030,27.316,2.018,0.496,0.748
14,2100,139.255,57.926,255,43,255,302.209,115.337,303.525,115.196,305.262,273,84,63,65,60.850,43.941,35.315,0.283,72.422,292436,134,0.325,-0.747,100,292436,276,148,35.446,50.800,1.385,0.722,0.761
15,479,121.942,37.633,131,43,196,211.999,103.957,211.969,103.482,85.255,202,87,21,31,30.393,20.066,87.788,0.828,31.780,58410,128,-0.425,-0.702,100,58410,206,118,77.276,21.000,1.515,0.660,0.942
16,860,97.178,32.397,84,43,196,847.028,103.455,848.396,103.040,161.095,825,87,45,31,43.930,24.926,174.805,0.416,47.434,83573,93,0.448,-0.432,100,83573,825,98,161.565,30.873,1.762,0.567,0.763
17,1112,101.135,28.673,118,34,156,618.705,117.990,618.583,117.292,156.267,603,92,33,54,56.770,24.940,73.846,0.572,55.082,112462,109,-0.562,-0.791,100,112462,613,146,74.197,29.232,2.276,0.439,0.848
18,490,121.210,39.380,128,43,209,740.735,113.531,740.564,112.953,85.154,726,99,27,27,28.738,21.710,51.798,0.849,30.000,59393,128,-0.253,-0.662,100,59393,726,120,36.870,22.235,1.324,0.755,0.925
19,692,122.175,41.393,131,43,227,556.408,124.682,556.195,125.056,123.640,544,102,25,44,44.642,19.737,98.120,0.569,45.607,84545,121,0.103,-0.465,100,84545,553,102,105.255,23.558,2.262,0.442,0.843
20,520,105.358,32.846,124,43,171,155.562,142.819,155.713,143.289,116.468,144,118,21,45,46.496,14.240,78.410,0.482,45.891,54786,112,-0.249,-0.882,100,54786,152,163,78.690,18.687,3.265,0.306,0.799
21,1328,108.578,33.615,96,43,209,251.239,143.998,251.929,143.117,226.108,228,118,45,52,45.003,37.572,130.766,0.326,55.362,144191,106,0.241,-0.210,100,144191,245,118,110.072,44.362,1.198,0.835,0.754
22,462,127.708,60.521,255,43,255,715.708,139.171,716.349,140.021,83.740,704,126,25,26,27.135,21.678,129.652,0.828,28.425,59001,115,0.584,-0.661,100,59001,706,128,140.711,22.627,1.252,0.799,0.930
23,492,112.528,39.677,96,43,231,90.917,154.445,90.774,155.630,121.397,83,130,16,47,47.708,13.131,86.755,0.420,47.265,55364,109,0.313,-0.354,100,55364,86,177,83.928,15.674,3.633,0.275,0.797
24,396,147.053,57.426,190,43,246,113.144,144.341,113.251,144.358,90.326,100,134,25,24,26.879,18.758,150.118,0.610,30.232,58233,156,-0.279,-1.149,100,58233,100,138,145.784,22.176,1.433,0.698,0.846
25,1492,118.165,51.333,109,43,255,630.040,172.337,631.586,169.962,244.149,603,147,54,50,53.031,35.822,50.622,0.315,60.415,176302,109,0.844,0.231,100,176302,604,191,28.686,45.219,1.480,0.675,0.736
26,769,114.267,41.041,118,40,206,738.389,162.990,739.314,163.840,118.125,719,147,37,34,36.528,26.805,151.889,0.693,37.855,87871,112,0.122,-0.888,100,87871,719,158,167.800,30.228,1.363,0.734,0.874
27,516,97.155,24.019,109,43,143,772.264,183.112,772.236,183.152,84.569,759,170,27,26,28.963,22.684,136.342,0.907,29.682,50132,103,-0.648,-0.551,100,50132,759,176,147.381,22.627,1.277,0.783,0.950
28,350,77.883,16.425,87,43,121,865.137,186.854,864.936,186.859,73.255,855,174,20,24,24.113,18.481,105.597,0.820,25.298,27259,81,-0.304,-0.427,100,27259,864,174,108.435,19.499,1.305,0.766,0.915
29,3306,124.095,56.022,255,31,255,579.589,222.469,579.590,223.216,560.583,527,175,107,101,69.748,60.351,40.603,0.132,114.769,410257,118,0.577,-0.421,100,410257,527,253,22.543,82.413,1.156,0.865,0.480
30,671,131.121,64.774,78,43,255,139.855,200.327,140.196,202.726,106.225,129,180,25,38,38.577,22.146,103.997,0.747,38.833,87982,121,0.280,-1.352,100,87982,135,180,101.889,24.350,1.742,0.574,0.933
