 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,390,131.090,74.295,255,27,255,44.828,17.887,45.127,17.010,82.326,31,7,27,22,28.437,17.462,149.691,0.723,29.833,51125,122,0.269,-1.146,100,51125,35,8,140.440,19.104,1.629,0.614,0.900
2,621,82.647,27.082,95,27,146,880.780,20.985,881.381,21.061,111.882,860,8,39,29,43.647,18.115,152.821,0.623,42.544,51324,85,-0.335,-0.494,100,51324,860,13,150.422,20.315,2.409,0.415,0.866
3,1059,101.194,47.333,92,20,255,148.851,42.052,149.984,42.753,137.095,129,20,40,42,39.497,34.138,127.260,0.708,43.012,107164,98,0.510,0.060,100,107164,143,21,107.592,36.273,1.157,0.864,0.907
4,556,95.103,34.005,102,27,177,822.032,36.027,821.515,36.171,107.539,810,20,26,34,34.167,20.719,68.158,0.604,35.171,52877,102,-0.366,-0.462,100,52877,819,54,75.174,23.255,1.649,0.606,0.862
5,966,110.510,61.527,85,27,255,80.713,51.220,80.353,49.997,155.823,63,25,32,53,54.767,22.458,103.681,0.500,54.129,106753,88,0.665,-0.654,100,106753,76,25,101.725,26.237,2.439,0.410,0.815
6,716,102.050,43.886,27,27,211,209.817,37.782,210.304,37.773,114.468,188,25,42,25,40.792,22.349,166.322,0.687,42.720,73068,105,-0.079,-0.920,100,73068,188,33,163.686,23.838,1.825,0.548,0.910
7,412,63.546,16.043,75,27,98,250.148,40.240,250.075,40.323,83.983,238,25,24,30,34.160,15.356,56.323,0.734,34.132,26181,68,-0.817,-0.222,100,26181,241,54,58.173,16.364,2.225,0.450,0.926
8,501,105.880,48.312,30,27,235,941.871,39.215,941.224,38.666,94.912,927,26,29,27,32.818,19.438,140.343,0.699,32.650,53046,109,0.071,-0.859,100,53046,931,27,130.030,21.439,1.688,0.592,0.882
9,557,100.767,34.809,119,27,163,770.371,41.164,770.320,40.953,89.497,755,29,29,25,29.290,24.213,15.130,0.874,30.017,56127,112,-0.765,-0.474,100,56127,756,46,29.982,24.607,1.210,0.827,0.945
10,2636,116.041,53.293,139,27,255,311.825,62.955,310.978,63.487,334.475,256,30,98,61,93.221,36.003,19.037,0.296,109.275,305885,119,0.242,-0.416,100,305885,258,89,29.615,52.235,2.589,0.386,0.678
11,691,75.230,22.911,68,27,126,637.416,57.892,636.870,57.446,109.296,618,43,36,31,37.457,23.489,151.598,0.727,37.014,51984,78,-0.265,-0.608,100,51984,622,48,141.582,24.079,1.595,0.627,0.891
12,404,63.084,16.352,68,27,92,576.572,56.827,576.439,57.023,77.740,564,45,25,24,29.565,17.399,40.289,0.840,30.232,25486,68,-0.800,-0.315,100,25486,564,65,34.216,17.678,1.699,0.588,0.940
13,1542,138.420,63.357,255,27,255,223.597,74.890,222.540,74.288,211.723,201,51,47,46,46.546,42.180,128.660,0.432,58.258,213443,150,-0.170,-0.909,100,213443,202,54,140.572,45.911,1.104,0.906,0.811
14,539,49.058,13.139,47,27,102,880.198,65.081,880.772,64.917,86.669,867,52,27,26,30.623,22.411,39.520,0.902,31.623,26442,47,1.047,1.873,100,26442,867,74,34.695,23.575,1.366,0.732,0.951
15,636,81.668,26.441,102,27,157,370.126,73.759,370.319,74.487,105.397,356,56,28,35,37.662,21.501,114.014,0.719,36.359,51941,85,-0.443,-0.655,100,51941,360,59,121.504,23.606,1.752,0.571,0.869
16,367,136.997,81.087,255,27,255,712.947,76.287,712.454,75.654,93.154,700,62,26,28,32.442,14.404,134.358,0.531,32.016,50278,143,0.037,-1.439,100,50278,700,66,141.340,17.678,2.252,0.444,0.802
