 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,390,34.877,9.775,40,5,69,44.828,17.887,44.276,17.795,82.326,31,7,27,22,28.437,17.462,149.691,0.723,29.833,13602,34,0.209,0.197,100.000,13602,35,8,140.440,19.104,1.629,0.614,0.900
2,621,53.802,19.642,34,5,116,880.780,20.985,883.374,22.372,111.882,860,8,39,29,43.647,18.115,152.821,0.623,42.544,33411,52,0.507,-0.246,100.000,33411,860,13,150.422,20.315,2.409,0.415,0.866
3,1059,36.898,10.539,34,11,128,148.851,42.052,148.965,41.515,137.095,129,20,40,42,39.497,34.138,127.260,0.708,43.012,39075,34,1.373,7.959,100.000,39075,143,21,107.592,36.273,1.157,0.864,0.907
4,556,45.520,12.620,40,17,116,822.032,36.027,821.615,35.998,107.539,810,20,26,34,34.167,20.719,68.158,0.604,35.171,25309,46,1.317,4.070,100.000,25309,819,54,75.174,23.255,1.649,0.606,0.862
5,966,35.569,9.293,34,5,69,80.713,51.220,80.850,51.751,155.823,63,25,32,53,54.767,22.458,103.681,0.500,54.129,34360,34,0.209,0.204,100.000,34360,76,25,101.725,26.237,2.439,0.410,0.815
6,716,41.064,13.382,40,5,110,209.817,37.782,208.608,37.514,114.468,188,25,42,25,40.792,22.349,166.322,0.687,42.720,29402,40,1.624,4.819,100.000,29402,188,33,163.686,23.838,1.825,0.548,0.910
7,412,38.301,9.030,34,11,64,250.148,40.240,250.267,40.286,83.983,238,25,24,30,34.160,15.356,56.323,0.734,34.132,15780,40,0.205,-0.148,100.000,15780,241,54,58.173,16.364,2.225,0.450,0.926
8,501,40.830,10.101,40,11,87,941.871,39.215,941.889,39.302,94.912,927,26,29,27,32.818,19.438,140.343,0.699,32.650,20456,40,0.344,1.097,100.000,20456,931,27,130.030,21.439,1.688,0.592,0.882
9,557,47.501,15.151,46,17,104,770.371,41.164,769.783,42.310,89.497,755,29,29,25,29.290,24.213,15.130,0.874,30.017,26458,46,0.702,0.440,100.000,26458,756,46,29.982,24.607,1.210,0.827,0.945
10,2636,37.256,10.508,34,11,93,311.825,62.955,310.629,63.296,334.475,256,30,98,61,93.221,36.003,19.037,0.296,109.275,98208,34,0.693,1.333,100.000,98208,258,89,29.615,52.235,2.589,0.386,0.678
11,691,53.986,10.428,52,23,87,637.416,57.892,637.112,57.583,109.296,618,43,36,31,37.457,23.489,151.598,0.727,37.014,37304,52,-0.057,-0.035,100.000,37304,622,48,141.582,24.079,1.595,0.627,0.891
12,404,51.913,10.083,52,23,81,576.572,56.827,576.942,56.414,77.740,564,45,25,24,29.565,17.399,40.289,0.840,30.232,20973,52,0.014,-0.175,100.000,20973,564,65,34.216,17.678,1.699,0.588,0.940
13,1542,39.925,10.558,40,5,81,223.597,74.890,224.056,75.147,211.723,201,51,47,46,46.546,42.180,128.660,0.432,58.258,61564,40,0.248,0.181,100.000,61564,202,54,140.572,45.911,1.104,0.906,0.811
14,539,89.492,13.800,87,52,168,880.198,65.081,880.466,65.074,86.669,867,52,27,26,30.623,22.411,39.520,0.902,31.623,48236,87,0.588,1.969,100.000,48236,867,74,34.695,23.575,1.366,0.732,0.951
15,636,35.742,8.628,34,5,64,370.126,73.759,370.095,73.549,105.397,356,56,28,35,37.662,21.501,114.014,0.719,36.359,22732,34,0.143,0.100,100.000,22732,360,59,121.504,23.606,1.752,0.571,0.869
16,367,94.738,71.281,46,17,250,712.947,76.287,709.515,72.357,93.154,700,62,26,28,32.442,14.404,134.358,0.531,32.016,34769,58,0.839,-0.914,100.000,34769,700,66,141.340,17.678,2.252,0.444,0.802
17,652,43.419,9.709,46,17,75,924.351,94.693,924.189,94.208,138.853,910,72,32,42,39.757,20.881,112.127,0.425,42.579,28309,46,0.028,-0.053,100.000,28309,926,72,99.462,26.986,1.904,0.525,0.695
18,1342,37.718,11.183,34,11,116,98.293,99.378,98.442,99.727,247.563,66,73,59,50,56.593,30.192,43.048,0.275,67.119,50617,34,1.411,6.631,100.000,50617,67,117,33.453,40.526,1.874,0.534,0.675
19,430,39.958,8.863,40,17,69,814.747,84.844,814.895,84.772,79.154,802,73,26,24,27.320,20.040,140.781,0.862,27.803,17182,40,0.340,0.097,100.000,17182,804,76,142.306,20.506,1.363,0.734,0.933
20,797,38.494,9.324,34,17,69,966.701,89.945,966.374,90.125,120.368,946,74,42,31,44.058,23.033,29.952,0.691,44.272,30680,40,0.157,-0.081,100.000,30680,946,97,18.435,25.179,1.913,0.523,0.897
21,4015,42.040,13.965,40,5,122,143.600,139.860,142.454,139.342,447.772,95,79,92,104,93.692,54.562,52.351,0.252,120.254,168791,40,0.979,1.606,100.000,168791,111,176,51.415,78.924,1.717,0.582,0.668
