 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,390,38.877,13.640,36,18,91,44.828,17.887,45.327,17.379,82.326,31,7,27,22,28.437,17.462,149.691,0.723,29.833,15162,36,0.845,0.971,100.000,15162,35,8,140.440,19.104,1.629,0.614,0.900
2,621,119.834,49.795,155,9,219,880.780,20.985,880.748,20.538,111.882,860,8,39,29,43.647,18.115,152.821,0.623,42.544,74417,128,-0.278,-0.735,100.000,74417,860,13,150.422,20.315,2.409,0.415,0.866
3,1059,64.175,37.252,27,9,182,148.851,42.052,150.917,39.456,137.095,129,20,40,42,39.497,34.138,127.260,0.708,43.012,67961,54,0.834,-0.246,100.000,67961,143,21,107.592,36.273,1.157,0.864,0.907
4,556,83.941,37.734,100,0,192,822.032,36.027,822.063,35.231,107.539,810,20,26,34,34.167,20.719,68.158,0.604,35.171,46671,91,-0.219,-0.636,99.640,46671,819,54,75.174,23.255,1.649,0.606,0.862
5,966,47.539,22.497,36,9,128,80.713,51.220,82.478,51.873,155.823,63,25,32,53,54.767,22.458,103.681,0.500,54.129,45923,45,0.752,-0.048,100.000,45923,76,25,101.725,26.237,2.439,0.410,0.815
6,716,114.256,68.906,54,9,255,209.817,37.782,213.524,37.622,114.468,188,25,42,25,40.792,22.349,166.322,0.687,42.720,81807,91,0.474,-1.064,100.000,81807,188,33,163.686,23.838,1.825,0.548,0.910
7,412,81.522,28.285,100,9,137,250.148,40.240,251.264,40.070,83.983,238,25,24,30,34.160,15.356,56.323,0.734,34.132,33587,91,-0.601,-0.636,100.000,33587,241,54,58.173,16.364,2.225,0.450,0.926
8,501,68.495,30.557,91,0,137,941.871,39.215,942.078,38.966,94.912,927,26,29,27,32.818,19.438,140.343,0.699,32.650,34316,73,-0.005,-0.786,99.800,34316,931,27,130.030,21.439,1.688,0.592,0.882
9,557,101.849,38.724,118,9,210,770.371,41.164,770.186,41.210,89.497,755,29,29,25,29.290,24.213,15.130,0.874,30.017,56730,109,-0.176,-0.232,100.000,56730,756,46,29.982,24.607,1.210,0.827,0.945
10,2636,88.517,53.578,64,0,255,311.825,62.955,307.225,64.438,334.475,256,30,98,61,93.221,36.003,19.037,0.296,109.275,233332,73,1.166,1.132,99.734,233332,258,89,29.615,52.235,2.589,0.386,0.678
11,691,91.904,33.992,91,9,192,637.416,57.892,637.947,57.446,109.296,618,43,36,31,37.457,23.489,151.598,0.727,37.014,63506,100,-0.388,-0.225,100.000,63506,622,48,141.582,24.079,1.595,0.627,0.891
12,404,92.725,32.865,100,18,164,576.572,56.827,577.307,56.658,77.740,564,45,25,24,29.565,17.399,40.289,0.840,30.232,37461,100,-0.610,-0.411,100.000,37461,564,65,34.216,17.678,1.699,0.588,0.940
13,1542,107.135,63.890,27,0,255,223.597,74.890,224.604,73.242,211.723,201,51,47,46,46.546,42.180,128.660,0.432,58.258,165202,109,0.408,-0.473,99.157,165202,202,54,140.572,45.911,1.104,0.906,0.811
14,539,72.599,18.716,73,18,118,880.198,65.081,880.551,64.959,86.669,867,52,27,26,30.623,22.411,39.520,0.902,31.623,39131,73,-0.312,-0.196,100.000,39131,867,74,34.695,23.575,1.366,0.732,0.951
15,636,100.302,47.739,118,0,237,370.126,73.759,371.574,74.152,105.397,356,56,28,35,37.662,21.501,114.014,0.719,36.359,63792,109,-0.212,-0.591,99.843,63792,360,59,121.504,23.606,1.752,0.571,0.869
16,367,57.632,32.429,54,9,155,712.947,76.287,711.968,74.573,93.154,700,62,26,28,32.442,14.404,134.358,0.531,32.016,21151,54,0.637,-0.422,100.000,21151,700,66,141.340,17.678,2.252,0.444,0.802
17,652,119.706,68.438,255,0,255,924.351,94.693,924.195,94.434,138.853,910,72,32,42,39.757,20.881,112.127,0.425,42.579,78048,109,0.410,-0.668,99.387,78048,926,72,99.462,26.986,1.904,0.525,0.695
18,1342,81.605,52.768,27,9,255,98.293,99.378,100.344,101.306,247.563,66,73,59,50,56.593,30.192,43.048,0.275,67.119,109514,73,0.990,0.556,100.000,109514,67,117,33.453,40.526,1.874,0.534,0.675
19,430,41.107,11.072,36,9,73,814.747,84.844,814.972,84.752,79.154,802,73,26,24,27.320,20.040,140.781,0.862,27.803,17676,45,0.185,-0.158,100.000,17676,804,76,142.306,20.506,1.363,0.734,0.933
20,797,95.917,54.125,45,9,255,966.701,89.945,963.377,91.256,120.368,946,74,42,31,44.058,23.033,29.952,0.691,44.272,76446,82,0.580,-0.663,100.000,76446,946,97,18.435,25.179,1.913,0.523,0.897
21,4015,67.024,43.234,36,0,255,143.600,139.860,143.948,137.758,447.772,95,79,92,104,93.692,54.562,52.351,0.252,120.254,269103,54,1.305,1.314,99.950,269103,111,176,51.415,78.924,1.717,0.582,0.668
22,663,58.928,18.652,64,18,109,433.805,96.373,434.263,96.087,97.154,419,82,30,30,34.473,24.488,43.593,0.883,35.468,39069,64,0.140,-0.392,100.000,39069,424,111,49.574,25.456,1.408,0.710,0.951
23,1305,88.799,38.340,73,18,228,863.423,123.835,861.876,121.747,185.380,842,96,44,52,57.860,28.717,119.956,0.477,59.363,115883,82,0.581,0.269,100.000,115883,850,97,122.619,33.365,2.015,0.496,0.851
24,669,60.046,26.353,36,9,146,275.222,112.521,276.128,113.120,113.539,258,97,35,31,36.183,23.541,143.838,0.652,36.401,40171,54,0.385,-0.518,100.000,40171,258,109,159.076,26.365,1.537,0.651,0.874
25,529,86.964,43.257,100,9,201,1028.634,114.901,1028.574,115.008,110.125,1015,97,27,35,36.803,18.301,113.514,0.548,36.056,46004,91,-0.015,-0.842,100.000,46004,1018,101,123.690,20.614,2.011,0.497,0.816
26,404,46.728,13.897,45,9,82,764.965,118.428,765.203,117.680,77.012,755,105,19,27,27.885,18.447,72.630,0.856,28.460,18878,45,-0.112,-0.143,100.000,18878,762,132,71.565,19.000,1.512,0.662,0.954
27,355,48.411,19.181,54,9,109,970.928,116.348,970.583,116.044,72.184,958,107,26,18,25.928,17.433,8.618,0.856,26.306,17186,45,0.071,-0.743,100.000,17186,958,118,8.746,17.613,1.487,0.672,0.932
28,2191,55.272,24.213,45,9,164,1217.272,145.943,1215.769,146.467,380.375,1183,112,70,68,69.442,40.173,39.865,0.190,90.609,121101,54,0.776,0.549,100.000,121101,1185,179,47.684,51.134,1.729,0.579,0.647
29,770,78.678,27.160,82,9,155,402.938,129.664,404.213,129.085,102.326,388,114,30,32,32.602,30.072,63.471,0.924,34.059,60582,82,-0.355,-0.112,100.000,60582,391,141,40.236,30.000,1.084,0.922,0.962
30,386,44.218,14.537,45,9,91,367.935,128.109,368.467,127.938,72.426,357,117,22,23,23.387,21.015,66.236,0.925,24.207,17068,45,-0.165,-0.127,100.000,17068,361,138,51.710,21.503,1.113,0.899,0.943
31,506,186.662,56.944,201,9,255,646.672,133.433,647.112,132.814,88.569,633,120,28,27,33.831,19.044,43.842,0.811,34.059,94451,201,-1.186,0.795,100.000,94451,634,145,40.236,19.799,1.776,0.563,0.941
32,356,96.772,39.766,109,18,246,1103.789,133.433,1103.472,133.140,70.184,1093,122,21,22,23.359,19.404,42.870,0.908,24.759,34451,100,0.066,0.219,100.000,34451,1094,141,43.363,20.506,1.204,0.831,0.942
33,2714,62.996,35.188,36,9,201,1047.296,163.710,1040.739,158.830,431.588,997,126,102,79,96.068,35.970,153.854,0.183,109.659,170971,54,0.746,-0.201,100.000,170971,999,130,155.772,51.674,2.671,0.374,0.576
34,667,93.720,59.020,36,0,255,210.260,143.851,211.446,143.857,137.338,189,127,41,32,37.335,22.747,150.524,0.444,43.863,62511,82,0.651,-0.251,99.550,62511,189,134,155.772,29.120,1.641,0.609,0.749
35,823,120.657,68.074,27,0,255,312.097,149.762,314.063,148.610,118.125,297,131,29,38,38.843,26.978,95.628,0.741,39.000,99301,128,0.014,-1.131,99.514,99301,305,132,112.620,29.000,1.440,0.695,0.904
36,1259,52.940,21.992,36,9,118,451.666,157.867,455.694,153.039,200.309,426,131,55,60,71.024,22.570,51.115,0.394,70.434,66651,54,0.254,-0.866,100.000,66651,435,189,51.340,28.083,3.147,0.318,0.736
37,869,52.231,18.861,54,9,109,960.379,148.068,960.239,147.690,161.681,938,133,42,36,35.887,30.831,1.402,0.418,43.681,45389,54,0.103,-0.390,100.000,45389,938,150,15.945,35.278,1.164,0.859,0.802
38,542,49.319,13.297,45,18,100,1161.922,141.804,1161.124,141.875,102.569,1143,133,39,18,40.370,17.094,2.548,0.647,39.319,26731,45,0.266,-0.044,100.000,26731,1143,144,7.306,18.000,2.362,0.423,0.903
39,471,43.382,13.852,36,18,91,827.927,157.965,828.193,157.637,85.497,813,147,29,24,29.886,20.066,147.880,0.810,30.887,20433,45,0.530,0.122,100.000,20433,813,151,150.945,22.483,1.489,0.671,0.915
40,1468,50.736,21.966,36,9,137,81.418,182.354,82.608,181.198,240.492,50,152,59,68,80.054,23.348,127.417,0.319,83.006,74480,45,0.850,0.499,100.000,74480,54,153,126.180,32.538,3.429,0.292,0.698
41,1055,123.784,72.310,255,0,255,929.256,176.113,928.469,177.006,169.581,911,153,37,45,42.395,31.684,85.568,0.461,45.398,130592,118,0.219,-1.000,98.863,130592,922,153,97.595,34.288,1.338,0.747,0.822
42,1943,60.841,38.989,45,9,255,788.127,204.941,789.900,208.810,299.362,765,156,43,94,82.778,29.886,87.697,0.272,95.189,118214,54,2.059,4.891,100.000,118214,782,250,80.933,42.420,2.770,0.361,0.648
43,632,43.138,11.498,45,9,82,735.190,173.880,735.472,173.713,96.569,722,157,26,34,34.100,23.598,66.693,0.852,34.928,27263,45,0.009,-0.128,100.000,27263,728,190,66.371,24.150,1.445,0.692,0.940
44,619,81.467,32.800,91,0,155,273.784,171.078,274.936,170.676,93.397,258,158,31,27,30.916,25.493,161.433,0.892,32.280,50428,91,-0.461,-0.527,99.677,50428,258,166,163.811,26.386,1.213,0.825,0.949
45,1474,62.705,29.563,36,0,155,237.693,188.052,237.580,187.488,206.794,211,161,60,51,66.435,28.249,148.554,0.433,71.218,92427,64,0.258,-1.072,99.932,92427,214,164,141.843,36.295,2.352,0.425,0.790
46,648,62.781,21.330,64,9,128,1128.696,172.270,1128.426,171.622,106.811,1109,161,40,23,41.141,20.054,11.665,0.714,41.000,40682,64,0.041,-0.377,100.000,40682,1109,177,12.680,21.023,2.051,0.487,0.917
47,3204,64.688,31.529,45,0,228,857.562,199.580,858.767,202.158,433.245,805,168,116,64,95.859,42.557,178.507,0.215,118.457,207260,54,1.128,1.634,99.969,207260,805,190,168.311,58.236,2.252,0.444,0.571
48,637,120.185,66.194,64,18,255,348.133,190.764,348.597,190.185,115.882,333,170,29,34,30.814,26.321,82.307,0.596,37.577,76558,118,0.432,-0.884,100.000,76558,341,170,115.201,29.000,1.171,0.854,0.822
49,1798,48.339,19.974,36,9,137,697.371,197.799,698.695,199.877,274.635,670,172,57,51,51.232,44.684,142.788,0.300,61.612,86913,45,0.748,0.452,100.000,86913,676,177,144.246,51.000,1.147,0.872,0.759
50,375,164.856,72.388,255,18,255,319.919,185.036,321.534,184.665,72.184,308,175,24,20,24.299,19.649,23.783,0.904,25.239,61821,182,-0.541,-0.920,100.000,61821,309,192,33.690,20.000,1.237,0.809,0.947
51,1412,46.775,19.149,36,9,118,1028.949,209.271,1029.456,208.673,201.380,1004,184,47,56,51.962,34.599,114.544,0.438,61.717,66046,45,1.080,1.273,100.000,66046,1009,193,130.400,42.709,1.502,0.666,0.786
52,759,85.129,36.820,109,18,201,134.935,204.223,136.012,204.035,128.368,119,185,32,39,41.727,23.160,66.504,0.579,40.719,64613,91,-0.085,-0.842,100.000,64613,127,223,65.323,25.069,1.802,0.555,0.857
53,577,68.373,18.079,73,18,118,572.107,201.174,571.945,200.654,102.569,551,190,39,22,37.758,19.457,11.288,0.689,39.623,39451,73,-0.241,0.028,100.000,39451,551,205,10.176,21.582,1.941,0.515,0.907
54,1147,38.340,10.777,36,9,73,186.097,206.923,187.297,206.535,180.995,159,192,55,33,54.450,26.821,17.755,0.440,59.093,43976,36,0.236,-0.060,100.000,43976,159,220,23.962,32.888,2.030,0.493,0.807
55,493,57.408,36.392,36,0,182,647.526,208.084,645.356,208.779,101.054,630,194,34,27,39.262,15.988,27.960,0.607,38.601,28302,45,1.288,1.011,99.594,28302,632,221,36.573,18.630,2.456,0.407,0.840
