 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,694,111.215,42.208,112,40,218,535.147,26.088,536.153,26.875,148.853,515,10,37,34,33.775,26.162,168.003,0.394,39.825,77183,112,0.146,-0.798,100,77183,516,16,141.116,33.290,1.291,0.775,0.749
2,584,126.110,46.660,112,40,255,735.570,24.908,734.897,25.360,99.154,722,11,27,30,28.785,25.832,115.916,0.746,32.696,73648,123,0.182,-0.492,100,73648,724,11,113.429,26.879,1.114,0.897,0.901
3,4862,132.235,76.186,255,17,255,1155.608,59.952,1156.636,60.486,390.558,1112,13,91,89,82.497,75.039,123.845,0.401,94.868,642928,123,0.274,-1.297,100,642928,1123,34,145.305,80.863,1.099,0.910,0.859
4,461,112.928,31.861,126,40,192,579.645,42.734,579.489,43.038,81.012,569,29,21,28,27.719,21.176,103.620,0.883,28.231,52060,120,-0.478,-0.327,100,52060,573,30,112.932,21.000,1.309,0.764,0.947
5,900,93.556,27.717,94,31,198,657.880,57.901,658.779,58.729,170.167,639,35,36,47,47.050,24.355,129.801,0.391,53.009,84200,94,0.333,0.339,100,84200,641,37,125.789,32.006,1.932,0.518,0.733
6,403,115.313,33.313,140,40,178,554.701,53.406,554.721,53.549,77.497,542,40,24,25,25.461,20.153,50.311,0.843,26.627,46471,123,-0.723,-0.379,100,46471,545,62,55.713,20.886,1.263,0.792,0.918
7,418,133.443,45.170,161,40,224,766.426,59.203,766.290,59.165,78.426,756,47,22,24,24.705,21.543,85.636,0.854,25.632,55779,146,-0.612,-0.602,100,55779,761,71,69.444,22.000,1.147,0.872,0.935
8,370,56.824,9.764,51,40,80,272.341,65.057,272.348,64.363,80.083,264,50,17,29,29.302,16.077,89.685,0.725,29.275,21025,57,0.235,-0.808,100,21025,270,50,97.853,17.000,1.823,0.549,0.916
9,1266,121.250,48.852,126,40,255,753.562,90.713,753.015,91.434,277.220,729,58,50,63,64.077,25.156,116.512,0.207,68.600,153502,120,0.482,0.073,100,153502,741,59,120.677,30.728,2.547,0.393,0.674
10,632,156.362,62.278,255,40,255,630.027,85.476,630.491,85.917,122.125,618,63,26,41,40.424,19.906,109.969,0.532,43.658,98821,166,-0.240,-1.066,100,98821,625,63,110.095,23.605,2.031,0.492,0.823
11,425,57.814,8.212,63,40,80,331.291,81.613,331.288,81.708,93.054,315,70,33,25,38.266,14.141,34.549,0.617,38.833,24571,60,-0.271,-0.405,100,24571,316,94,34.509,15.228,2.706,0.370,0.910
12,832,163.690,61.296,255,40,255,698.845,89.614,697.674,89.493,146.267,681,71,43,38,37.893,27.956,30.562,0.489,43.932,136190,178,-0.489,-0.842,100,136190,681,98,11.821,32.171,1.355,0.738,0.765
13,551,105.263,29.594,115,40,198,779.691,87.266,779.594,86.757,90.569,767,71,25,32,33.359,21.030,112.062,0.844,34.176,58000,112,-0.185,0.089,100,58000,774,71,110.556,21.666,1.586,0.630,0.939
