 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,694,88.686,49.159,39,9,236,535.147,26.088,537.819,27.191,148.853,515,10,37,34,33.775,26.162,168.003,0.394,39.825,61548,68,0.545,-0.787,100.000,61548,516,16,141.116,33.290,1.291,0.775,0.749
2,584,67.399,29.785,49,9,157,735.570,24.908,736.676,24.882,99.154,722,11,27,30,28.785,25.832,115.916,0.746,32.696,39361,59,0.627,-0.115,100.000,39361,724,11,113.429,26.879,1.114,0.897,0.901
3,4862,75.526,23.340,78,0,167,1155.608,59.952,1155.088,58.879,390.558,1112,13,91,89,82.497,75.039,123.845,0.401,94.868,367205,78,0.162,0.017,99.979,367205,1123,34,145.305,80.863,1.099,0.910,0.859
4,461,79.302,26.293,68,9,157,579.645,42.734,579.222,43.417,81.012,569,29,21,28,27.719,21.176,103.620,0.883,28.231,36558,78,0.161,-0.337,100.000,36558,573,30,112.932,21.000,1.309,0.764,0.947
5,900,89.637,29.120,98,9,167,657.880,57.901,656.698,57.090,170.167,639,35,36,47,47.050,24.355,129.801,0.391,53.009,80673,98,-0.399,-0.266,100.000,80673,641,37,125.789,32.006,1.932,0.518,0.733
6,403,91.876,31.214,108,9,167,554.701,53.406,554.228,53.956,77.497,542,40,24,25,25.461,20.153,50.311,0.843,26.627,37026,98,-0.515,-0.463,100.000,37026,545,62,55.713,20.886,1.263,0.792,0.918
7,418,126.153,48.924,147,9,226,766.426,59.203,765.729,58.973,78.426,756,47,22,24,24.705,21.543,85.636,0.854,25.632,52732,137,-0.509,-0.614,100.000,52732,761,71,69.444,22.000,1.147,0.872,0.935
8,370,36.214,8.830,39,19,68,272.341,65.057,272.458,64.583,80.083,264,50,17,29,29.302,16.077,89.685,0.725,29.275,13399,39,0.114,0.106,100.000,13399,270,50,97.853,17.000,1.823,0.549,0.916
9,1266,80.806,37.172,59,9,255,753.562,90.713,752.398,92.278,277.220,729,58,50,63,64.077,25.156,116.512,0.207,68.600,102300,78,1.005,1.248,100.000,102300,741,59,120.677,30.728,2.547,0.393,0.674
10,632,79.907,50.582,49,0,236,630.027,85.476,627.930,82.631,122.125,618,63,26,41,40.424,19.906,109.969,0.532,43.658,50501,59,0.900,-0.123,99.525,50501,625,63,110.095,23.605,2.031,0.492,0.823
11,425,29.494,8.355,29,9,59,331.291,81.613,330.728,81.986,93.054,315,70,33,25,38.266,14.141,34.549,0.617,38.833,12535,29,0.369,0.254,100.000,12535,316,94,34.509,15.228,2.706,0.370,0.910
