 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,694,100.883,40.307,68,25,200,535.147,26.088,537.647,27.325,148.853,515,10,37,34,33.775,26.162,168.003,0.394,39.825,70013,98,0.178,-1.065,100,70013,516,16,141.116,33.290,1.291,0.775,0.749
2,584,85.943,21.111,89,29,162,735.570,24.908,734.729,25.055,99.154,722,11,27,30,28.785,25.832,115.916,0.746,32.696,50191,89,-0.200,0.183,100,50191,724,11,113.429,26.879,1.114,0.897,0.901
3,4862,170.517,53.319,255,25,255,1155.608,59.952,1154.586,59.507,390.558,1112,13,91,89,82.497,75.039,123.845,0.401,94.868,829056,174,-0.253,-0.552,100,829056,1123,34,145.305,80.863,1.099,0.910,0.859
4,461,80.557,12.529,76,42,119,579.645,42.734,579.679,42.645,81.012,569,29,21,28,27.719,21.176,103.620,0.883,28.231,37137,81,-0.176,0.070,100,37137,573,30,112.932,21.000,1.309,0.764,0.947
5,900,64.717,16.206,59,21,123,657.880,57.901,656.976,56.994,170.167,639,35,36,47,47.050,24.355,129.801,0.391,53.009,58245,64,0.187,0.412,100,58245,641,37,125.789,32.006,1.932,0.518,0.733
6,403,68.258,13.686,72,29,106,554.701,53.406,554.522,53.396,77.497,542,40,24,25,25.461,20.153,50.311,0.843,26.627,27508,72,-0.408,0.024,100,27508,545,62,55.713,20.886,1.263,0.792,0.918
7,418,158.189,37.663,157,29,255,766.426,59.203,766.559,59.899,78.426,756,47,22,24,24.705,21.543,85.636,0.854,25.632,66123,157,-0.390,0.672,100,66123,761,71,69.444,22.000,1.147,0.872,0.935
8,370,39.043,7.485,38,21,64,272.341,65.057,272.391,64.505,80.083,264,50,17,29,29.302,16.077,89.685,0.725,29.275,14446,38,0.224,0.206,100,14446,270,50,97.853,17.000,1.823,0.549,0.916
9,1266,114.916,36.971,110,34,234,753.562,90.713,754.096,93.572,277.220,729,58,50,63,64.077,25.156,116.512,0.207,68.600,145484,110,0.537,-0.184,100,145484,741,59,120.677,30.728,2.547,0.393,0.674
10,632,103.858,50.021,59,34,221,630.027,85.476,627.822,82.555,122.125,618,63,26,41,40.424,19.906,109.969,0.532,43.658,65638,85,0.469,-1.168,100,65638,625,63,110.095,23.605,2.031,0.492,0.823
11,425,69.416,10.866,68,42,106,331.291,81.613,331.257,81.771,93.054,315,70,33,25,38.266,14.141,34.549,0.617,38.833,29502,68,0.212,0.345,100,29502,316,94,34.509,15.228,2.706,0.370,0.910
12,832,176.828,48.067,255,38,255,698.845,89.614,698.380,89.646,146.267,681,71,43,38,37.893,27.956,30.562,0.489,43.932,147121,183,-0.465,-0.333,100,147121,681,98,11.821,32.171,1.355,0.738,0.765
13,551,139.022,32.106,132,72,255,779.691,87.266,779.230,86.143,90.569,767,71,25,32,33.359,21.030,112.062,0.844,34.176,76601,136,1.037,1.804,100,76601,774,71,110.556,21.666,1.586,0.630,0.939
14,378,59.413,11.147,64,25,98,178.606,85.442,178.784,85.084,80.083,165,76,26,19,26.873,17.910,159.592,0.741,28.844,22458,59,-0.241,0.112,100,22458,166,78,146.310,18.918,1.500,0.666,0.925
15,817,82.494,32.461,72,17,192,522.502,93.697,523.155,95.870,136.610,501,79,40,36,39.867,26.093,136.046,0.550,44.283,67398,72,1.082,0.669,100,67398,501,81,154.592,30.871,1.528,0.654,0.804
16,976,132.174,25.568,123,76,230,608.084,112.844,608.317,113.747,151.439,597,84,23,58,60.080,20.684,90.049,0.535,58.310,129002,132,0.568,0.340,100,129002,603,84,95.906,22.658,2.905,0.344,0.877
17,548,75.029,19.007,76,29,128,445.252,106.454,445.416,106.200,90.326,432,91,26,30,33.706,20.700,59.352,0.844,34.482,41116,76,0.030,-0.447,100,41116,436,121,60.461,21.272,1.628,0.614,0.946
18,531,96.740,15.725,98,59,145,330.174,111.573,329.812,111.213,94.083,312,101,36,21,37.165,18.192,18.484,0.754,37.363,51369,98,0.208,-0.415,100,51369,312,116,15.524,19.290,2.043,0.489,0.943
19,1889,99.781,21.351,98,29,162,510.730,135.832,509.070,135.423,325.889,477,101,65,66,57.449,41.866,146.346,0.224,70.937,188486,98,0.057,-0.052,100,188486,497,101,111.501,53.943,1.372,0.729,0.643
20,702,85.182,39.978,72,17,226,655.122,130.189,658.730,132.575,181.723,638,108,41,42,46.914,19.052,129.608,0.267,51.088,59798,72,1.114,0.477,100,59798,645,109,130.236,24.835,2.462,0.406,0.690
21,607,113.346,23.335,115,38,170,703.192,130.515,702.704,130.636,117.296,689,113,28,35,37.783,20.455,67.416,0.554,37.000,68801,115,-0.365,0.065,100,68801,698,148,71.075,23.401,1.847,0.541,0.840
22,535,64.604,17.963,68,21,119,364.283,135.866,364.363,136.058,88.326,350,123,28,26,28.536,23.871,150.630,0.862,30.871,34563,64,0.229,0.239,100,34563,350,130,155.095,25.210,1.195,0.837,0.933
23,457,33.573,6.576,34,17,51,975.909,149.474,975.802,149.283,98.225,967,131,18,37,36.479,15.951,98.416,0.595,37.483,15343,34,0.088,-0.286,100,15343,972,131,99.211,17.531,2.287,0.437,0.903
24,792,93.547,23.923,93,29,153,562.452,154.364,562.715,155.674,118.711,547,134,32,38,34.879,28.912,71.537,0.706,39.294,74089,93,-0.134,-0.606,100,74089,554,172,75.256,30.920,1.206,0.829,0.893
25,621,152.438,54.481,174,25,255,756.157,154.735,755.201,154.548,107.296,741,139,31,31,34.033,23.233,130.185,0.678,34.670,94664,166,-0.592,-0.424,100,94664,747,140,123.232,26.571,1.465,0.683,0.877
26,1720,98.656,44.872,64,34,255,616.684,164.130,610.666,166.985,236.735,577,140,77,50,79.976,27.383,24.732,0.386,80.654,169688,85,1.343,1.421,100,169688,577,179,17.312,37.325,2.921,0.342,0.716
27,899,130.528,55.267,93,42,255,481.031,179.896,480.300,182.253,157.823,464,153,28,52,53.799,21.276,83.125,0.454,53.600,117345,115,0.744,-0.564,100,117345,475,205,75.964,26.921,2.529,0.395,0.798
28,426,85.512,18.011,98,34,136,680.798,171.779,680.839,171.706,85.740,668,157,26,28,31.748,17.085,127.788,0.728,31.623,36428,85,-0.110,-0.270,100,36428,674,158,124.695,19.137,1.858,0.538,0.869
29,971,92.905,31.837,81,25,200,215.572,181.872,216.906,181.334,211.179,194,159,43,48,49.654,24.899,118.615,0.274,59.666,90211,89,0.370,0.344,100,90211,199,161,129.560,33.622,1.994,0.501,0.668
30,423,69.326,16.901,55,34,128,533.301,175.327,532.394,175.620,80.669,519,165,28,20,28.665,18.789,9.725,0.817,29.120,29325,68,0.324,-0.509,100,29325,519,180,15.945,20.000,1.526,0.655,0.934
31,997,68.611,20.587,55,25,128,694.909,200.452,696.481,197.643,176.167,675,172,37,57,59.160,21.458,60.955,0.404,61.465,68405,68,0.276,-0.626,100,68405,685,229,68.025,26.323,2.757,0.363,0.793
32,912,104.549,27.620,102,42,179,398.826,189.874,399.722,190.202,160.551,375,173,47,33,48.236,24.073,161.418,0.445,50.606,95349,102,0.131,-0.560,100,95349,377,175,150.396,30.414,2.004,0.499,0.781
33,639,122.767,28.216,123,34,255,790.431,194.189,790.563,194.675,117.296,780,176,23,38,38.864,20.935,85.918,0.584,38.328,78448,123,0.251,1.001,100,78448,789,176,97.496,23.000,1.856,0.539,0.859
34,543,104.656,23.304,102,42,170,630.404,199.218,629.400,199.316,102.225,612,189,35,23,35.722,19.354,168.509,0.653,35.903,56828,106,0.052,-0.006,100,56828,612,192,167.125,22.422,1.846,0.542,0.865
35,1382,73.912,34.134,38,4,166,740.380,221.052,745.936,215.761,236.593,710,190,60,65,73.296,24.007,44.701,0.310,74.813,102146,64,0.365,-1.108,100,102146,719,253,52.058,33.751,3.053,0.328,0.644
36,358,89.246,22.816,89,42,149,571.388,210.528,572.217,211.219,73.255,559,200,24,22,24.351,18.719,148.438,0.838,24.839,31950,89,0.026,-0.922,100,31950,562,203,130.101,19.952,1.301,0.769,0.904
37,415,102.971,33.370,76,38,200,599.317,214.028,598.421,212.773,85.740,586,201,28,25,32.238,16.391,143.707,0.709,32.016,42733,93,0.643,-0.413,100,42733,589,202,141.340,18.141,1.967,0.508,0.867
38,558,152.633,35.016,149,55,255,532.389,218.306,532.597,218.669,120.853,522,202,23,35,35.168,20.202,86.064,0.480,35.903,85169,153,0.121,0.323,100,85169,529,237,77.125,23.000,1.741,0.574,0.812
39,469,176.957,48.255,255,76,255,502.730,217.182,502.924,217.219,89.640,490,205,26,26,28.010,21.319,40.734,0.733,29.155,82993,179,-0.105,-1.025,100,82993,496,231,59.036,21.920,1.314,0.761,0.912
40,377,127.249,26.063,132,72,221,322.720,222.829,323.040,223.691,79.154,311,210,23,26,28.712,16.718,130.335,0.756,29.411,47973,128,0.389,-0.092,100,47973,313,211,125.311,18.897,1.717,0.582,0.894
41,554,206.838,49.656,255,64,255,116.554,239.875,117.003,240.795,110.711,103,224,30,33,30.103,23.432,128.831,0.568,33.541,114588,221,-0.806,-0.390,100,114588,111,224,100.305,27.785,1.285,0.778,0.829
42,617,64.167,24.739,42,21,140,760.946,246.842,760.235,244.199,99.154,749,229,25,34,35.340,22.229,102.532,0.789,35.777,39591,55,0.583,-0.619,100,39591,754,230,116.565,24.156,1.590,0.629,0.915
43,1281,194.894,56.123,255,29,255,272.139,252.950,272.419,255.225,200.693,249,231,44,50,50.050,32.588,115.038,0.400,55.000,249659,204,-0.462,-0.991,100,249659,254,234,126.870,41.400,1.536,0.651,0.780
44,583,114.515,59.626,64,29,255,488.977,248.246,485.564,247.329,126.368,467,235,42,24,39.938,18.586,2.517,0.459,42.755,66762,89,0.710,-0.779,100,66762,467,254,10.784,23.636,2.149,0.465,0.765
45,739,92.747,28.226,76,34,183,410.970,252.689,408.625,251.344,126.368,389,236,42,35,48.141,19.545,142.973,0.582,47.434,68540,85,0.799,-0.086,100,68540,390,241,145.305,22.277,2.463,0.406,0.847
46,461,58.338,11.075,59,17,85,658.528,248.190,658.223,247.967,79.598,647,236,23,25,26.672,22.007,57.686,0.914,27.803,26894,59,-0.672,0.421,100,26894,650,259,52.306,22.768,1.212,0.825,0.951
47,656,152.268,44.377,149,42,255,543.052,256.918,541.854,256.523,127.782,520,246,45,22,46.154,18.097,6.176,0.505,45.277,99888,153,0.023,-0.595,100,99888,520,258,6.340,21.138,2.550,0.392,0.814
48,524,68.080,9.785,68,42,98,1348.384,266.939,1348.466,266.802,124.267,1330,255,37,24,38.853,17.172,23.115,0.426,40.311,35674,68,-0.010,-0.137,100,35674,1330,276,23.385,18.710,2.263,0.442,0.858
49,14151,202.012,55.040,255,42,255,178.767,333.407,177.631,329.374,1162.445,101,259,179,152,154.098,116.923,154.856,0.132,198.124,2858667,217,-0.779,-0.522,100,2858667,102,263,153.952,142.162,1.318,0.759,0.722
50,504,35.121,6.982,34,17,55,453.911,284.948,453.758,284.698,82.426,441,273,26,24,27.332,23.478,28.018,0.932,28.302,17701,34,-0.014,-0.056,100,17701,443,294,32.005,24.000,1.164,0.859,0.957
51,780,135.053,30.095,136,38,213,604.668,288.678,604.059,289.017,119.296,584,274,40,30,43.383,22.892,20.852,0.689,43.081,105341,136,-0.431,0.218,100,105341,584,296,21.801,24.817,1.895,0.528,0.892
52,413,156.363,38.163,162,55,255,232.318,286.854,231.453,287.095,80.083,218,276,28,22,27.694,18.988,164.677,0.809,28.443,64578,162,-0.326,-0.358,100,64578,218,291,10.125,18.974,1.459,0.686,0.920
53,553,152.034,32.439,153,64,238,725.522,297.292,725.295,296.724,115.882,710,279,30,37,43.353,16.241,125.292,0.517,43.012,84075,153,-0.162,0.028,100,84075,712,281,125.538,18.331,2.669,0.375,0.837
54,737,135.163,38.637,153,34,238,284.017,300.945,282.934,300.198,121.296,264,283,40,34,40.842,22.976,146.678,0.629,41.761,99615,140,-0.197,-0.450,100,99615,264,297,163.301,26.200,1.778,0.563,0.833
55,509,125.566,27.283,115,34,213,533.019,293.834,533.482,293.949,102.811,516,283,34,22,34.749,18.651,171.446,0.605,34.438,63913,123,-0.027,1.136,100,63913,517,289,154.179,20.937,1.863,0.537,0.832
56,503,132.499,27.684,140,55,221,752.401,301.118,751.688,301.034,100.811,739,284,30,33,41.710,15.355,128.714,0.622,41.231,66647,136,-0.210,-0.169,100,66647,741,285,129.094,17.815,2.716,0.368,0.871
57,567,113.108,18.268,110,55,174,416.017,303.391,416.042,303.490,89.497,403,289,27,28,29.441,24.521,126.222,0.890,30.610,64132,115,-0.008,0.286,100,64132,404,294,141.633,25.473,1.201,0.833,0.946
58,479,122.802,21.576,123,55,192,359.659,315.385,359.127,314.989,88.326,345,304,29,24,31.006,19.670,158.640,0.772,31.623,58822,123,-0.118,0.427,100,58822,346,306,145.305,21.503,1.576,0.634,0.895
59,682,65.372,12.574,64,25,106,862.565,331.921,863.034,331.916,128.024,844,313,38,34,38.682,22.449,142.568,0.523,40.608,44584,64,-0.103,-0.257,100,44584,851,314,127.999,25.120,1.723,0.580,0.821
60,694,58.839,18.309,42,21,123,524.687,333.434,526.939,333.428,169.137,504,314,39,37,33.639,26.268,160.377,0.305,40.025,40834,59,0.450,-0.170,100,40834,504,335,167.005,34.386,1.281,0.781,0.705
61,699,130.067,29.796,115,59,209,905.119,329.951,905.673,331.227,102.468,889,316,33,28,32.472,27.408,162.339,0.837,33.615,90917,128,0.122,-0.768,100,90917,891,321,149.621,28.000,1.185,0.844,0.942
62,940,74.536,31.694,46,21,187,374.216,341.885,370.686,345.776,151.439,355,321,41,45,55.038,21.746,48.605,0.515,54.037,70064,68,0.552,-0.658,100,70064,359,364,51.009,25.925,2.531,0.395,0.817
63,376,113.287,31.109,136,46,192,295.383,336.686,294.288,337.125,79.255,282,328,28,20,28.389,16.863,23.342,0.752,28.844,42596,115,-0.057,-0.955,100,42596,285,345,33.690,19.000,1.684,0.594,0.905
64,593,109.526,21.697,115,38,174,991.502,339.718,991.997,339.559,117.539,971,330,41,20,43.126,17.508,174.177,0.539,41.976,64949,110,-0.221,-0.135,100,64949,971,334,167.619,19.169,2.463,0.406,0.843
65,921,109.112,25.256,110,46,187,936.388,350.132,934.836,349.535,115.196,916,333,39,34,37.609,31.180,153.235,0.872,39.850,100492,106,0.370,0.067,100,100492,916,346,162.474,31.618,1.206,0.829,0.949
66,483,100.907,22.633,110,42,157,1112.405,353.227,1112.198,353.256,100.811,1101,335,25,34,36.797,16.713,118.222,0.597,37.216,48738,102,-0.162,-0.551,100,48738,1105,336,120.700,19.189,2.202,0.454,0.842
