 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
28,669,93.265,19.634,97,44,158,797.504,134.403,796.567,134.887,120.225,781,120,35,27,37.758,22.559,167.007,0.582,37.216,62394,93,0.257,0.190,100.000,62394,782,124,149.300,24.470,1.674,0.597,0.873
29,701,94.165,13.322,93,56,134,233.999,141.051,233.665,140.843,127.640,216,121,36,40,49.346,18.088,128.308,0.541,48.166,66010,93,-0.045,-0.155,100.000,66010,219,122,131.634,20.886,2.728,0.367,0.815
30,1402,50.978,21.413,28,8,105,361.561,156.815,363.660,163.135,185.966,340,126,41,60,65.418,27.287,109.265,0.509,62.968,71471,52,0.064,-1.153,100.000,71471,350,127,110.450,31.098,2.397,0.417,0.826
31,952,82.834,17.384,77,28,154,437.480,155.304,438.800,155.655,167.581,416,133,42,44,42.272,28.675,139.195,0.426,49.244,78858,81,0.632,1.059,100.000,78858,430,134,119.168,34.391,1.474,0.678,0.778
32,441,27.791,7.001,28,8,56,125.613,145.237,125.583,144.892,83.154,111,135,29,20,29.397,19.101,12.641,0.801,30.364,12256,28,0.245,0.238,100.000,12256,111,150,17.241,19.892,1.539,0.650,0.937
33,350,71.754,12.291,73,40,117,740.157,146.311,740.060,146.808,75.497,728,137,25,20,26.303,16.943,20.176,0.772,26.926,25114,73,0.114,0.141,100.000,25114,728,153,21.801,18.025,1.552,0.644,0.901
34,1062,41.126,15.881,32,8,85,202.740,162.251,200.491,158.812,172.066,181,141,39,49,49.508,27.312,119.379,0.451,54.083,43676,40,0.305,-0.732,100.000,43676,186,143,123.690,34.749,1.813,0.552,0.769
35,585,25.771,6.841,28,4,52,622.302,156.683,622.499,156.844,112.468,607,141,31,31,31.695,23.500,45.549,0.581,31.780,15076,24,0.219,0.286,100.000,15076,607,162,12.724,25.456,1.349,0.741,0.856
36,386,47.303,13.607,40,20,93,407.951,164.821,409.038,165.163,75.740,396,152,24,25,26.397,18.618,128.960,0.846,26.926,18259,44,0.924,0.721,100.000,18259,402,153,121.329,19.329,1.418,0.705,0.921
37,595,23.953,6.777,24,4,48,81.766,167.034,81.739,167.066,112.125,63,156,37,23,39.326,19.264,171.067,0.595,37.855,14252,24,0.122,0.236,100.000,14252,63,162,167.800,21.424,2.041,0.490,0.846
38,365,61.800,16.482,56,20,97,567.999,166.949,568.164,167.654,75.497,555,156,25,23,28.738,16.172,141.790,0.805,29.411,22557,60,-0.230,-0.613,100.000,22557,556,158,144.689,17.321,1.777,0.563,0.923
39,588,45.573,12.090,44,12,93,533.587,178.429,533.079,179.244,98.225,519,163,28,33,34.726,21.559,119.657,0.766,34.986,26797,44,0.505,0.595,100.000,26797,520,166,120.964,22.059,1.611,0.621,0.912
40,814,47.469,8.565,48,20,77,692.319,183.568,692.307,183.614,126.368,676,164,33,39,42.620,24.318,120.247,0.641,41.677,38640,48,0.155,0.465,100.000,38640,682,165,120.256,26.213,1.753,0.571,0.875
41,906,26.384,6.568,28,4,48,105.428,189.757,105.276,190.010,121.196,86,170,37,39,43.847,26.308,50.823,0.775,44.045,23904,28,0.010,0.153,100.000,23904,91,207,50.528,27.899,1.667,0.600,0.922
42,2343,73.354,19.004,73,16,142,506.779,217.047,507.943,219.735,319.990,480,171,56,82,80.764,36.937,113.886,0.288,91.586,171868,73,-0.095,0.071,100.000,171868,482,172,121.608,49.363,2.186,0.457,0.747
43,706,83.076,18.544,97,36,138,269.072,191.588,269.847,191.157,122.953,255,172,30,40,41.069,21.888,69.073,0.587,40.804,58652,85,0.029,-0.553,100.000,58652,266,212,72.897,24.891,1.876,0.533,0.832
44,407,23.715,6.845,24,0,44,39.810,192.154,39.670,192.491,78.083,28,180,23,26,27.482,18.857,118.193,0.839,28.302,9652,24,-0.105,0.186,99.509,9652,30,181,122.005,19.230,1.457,0.686,0.926
45,544,98.029,19.769,101,48,150,444.029,202.147,444.224,202.082,101.640,430,185,26,36,39.248,17.648,116.867,0.662,39.395,53328,101,-0.020,-0.505,100.000,53328,435,185,113.962,19.230,2.224,0.450,0.877
46,603,78.050,13.269,81,28,117,639.246,201.158,639.767,201.315,91.841,626,187,26,29,29.996,25.596,101.395,0.898,31.385,47064,81,-0.386,0.459,100.000,47064,633,187,112.479,25.572,1.172,0.853,0.948
47,801,42.949,19.161,36,12,121,134.272,211.703,134.086,215.348,118.225,121,194,30,39,39.611,25.747,73.610,0.720,39.825,34402,36,1.217,1.062,100.000,34402,125,231,61.504,29.263,1.538,0.650,0.886
48,990,31.297,7.275,32,8,52,190.086,220.562,189.888,221.446,136.267,175,197,31,45,45.379,27.778,93.751,0.670,46.573,30984,32,0.107,-0.270,100.000,30984,182,197,104.931,30.975,1.634,0.612,0.876
49,1023,127.521,26.430,121,60,186,584.225,212.176,584.236,213.205,145.439,557,197,51,30,49.753,26.180,16.728,0.608,53.451,130454,125,-0.087,-0.810,100.000,130454,557,223,17.418,29.051,1.900,0.526,0.877
50,837,29.749,7.570,28,8,56,63.842,218.582,64.459,219.420,109.882,47,201,32,36,36.831,28.935,122.298,0.871,38.910,24900,28,0.158,-0.241,100.000,24900,55,202,115.907,29.698,1.273,0.786,0.950
