 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
28,669,79.865,32.703,81,10,160,797.504,134.403,798.497,135.848,120.225,781,120,35,27,37.758,22.559,167.007,0.582,37.216,53430,81,0.085,-0.790,100.000,53430,782,124,149.300,24.470,1.674,0.597,0.873
29,701,38.889,8.954,37,13,71,233.999,141.051,234.003,140.899,127.640,216,121,36,40,49.346,18.088,128.308,0.541,48.166,27261,37,0.297,0.282,100.000,27261,219,122,131.634,20.886,2.728,0.367,0.815
30,1402,57.399,22.775,64,6,116,361.561,156.815,363.327,161.199,185.966,340,126,41,60,65.418,27.287,109.265,0.509,62.968,80474,58,0.040,-0.944,100.000,80474,350,127,110.450,31.098,2.397,0.417,0.826
31,952,56.105,16.062,58,6,112,437.480,155.304,439.121,156.321,167.581,416,133,42,44,42.272,28.675,139.195,0.426,49.244,53412,58,0.033,-0.130,100.000,53412,430,134,119.168,34.391,1.474,0.678,0.778
32,441,36.844,11.888,37,13,75,125.613,145.237,126.311,145.948,83.154,111,135,29,20,29.397,19.101,12.641,0.801,30.364,16248,37,0.364,-0.344,100.000,16248,111,150,17.241,19.892,1.539,0.650,0.937
33,350,71.437,24.428,81,10,150,740.157,146.311,740.084,147.284,75.497,728,137,25,20,26.303,16.943,20.176,0.772,26.926,25003,75,-0.084,-0.442,100.000,25003,728,153,21.801,18.025,1.552,0.644,0.901
34,1062,55.815,22.451,44,13,133,202.740,162.251,203.365,164.977,172.066,181,141,39,49,49.508,27.312,119.379,0.451,54.083,59276,51,0.806,0.250,100.000,59276,186,143,123.690,34.749,1.813,0.552,0.769
35,585,43.060,18.570,51,6,102,622.302,156.683,622.529,157.900,112.468,607,141,31,31,31.695,23.500,45.549,0.581,31.780,25190,44,0.290,-0.441,100.000,25190,607,162,12.724,25.456,1.349,0.741,0.856
36,386,34.088,7.737,30,13,64,407.951,164.821,408.097,165.039,75.740,396,152,24,25,26.397,18.618,128.960,0.846,26.926,13158,34,0.143,0.307,100.000,13158,402,153,121.329,19.329,1.418,0.705,0.921
37,595,74.022,43.192,27,6,194,81.766,167.034,85.385,168.477,112.125,63,156,37,23,39.326,19.264,171.067,0.595,37.855,44043,68,0.581,-0.755,100.000,44043,63,162,167.800,21.424,2.041,0.490,0.846
38,365,143.745,84.675,255,3,255,567.999,166.949,569.254,168.652,75.497,555,156,25,23,28.738,16.172,141.790,0.805,29.411,52467,150,-0.098,-1.478,100.000,52467,556,158,144.689,17.321,1.777,0.563,0.923
39,588,172.316,77.518,255,17,255,533.587,178.429,534.438,179.842,98.225,519,163,28,33,34.726,21.559,119.657,0.766,34.986,101322,197,-0.636,-1.019,100.000,101322,520,166,120.964,22.059,1.611,0.621,0.912
40,814,77.238,23.448,85,13,119,692.319,183.568,692.645,184.463,126.368,676,164,33,39,42.620,24.318,120.247,0.641,41.677,62872,81,-0.704,-0.204,100.000,62872,682,165,120.256,26.213,1.753,0.571,0.875
41,906,46.213,23.068,27,10,133,105.428,189.757,106.152,191.494,121.196,86,170,37,39,43.847,26.308,50.823,0.775,44.045,41869,40,1.090,0.611,100.000,41869,91,207,50.528,27.899,1.667,0.600,0.922
42,2343,53.603,18.202,54,10,150,506.779,217.047,507.327,219.333,319.990,480,171,56,82,80.764,36.937,113.886,0.288,91.586,125592,54,0.567,0.899,100.000,125592,482,172,121.608,49.363,2.186,0.457,0.747
43,706,123.935,58.646,150,10,245,269.072,191.588,270.339,192.463,122.953,255,172,30,40,41.069,21.888,69.073,0.587,40.804,87498,136,-0.313,-1.031,100.000,87498,266,212,72.897,24.891,1.876,0.533,0.832
44,407,52.081,26.865,30,10,126,39.810,192.154,41.498,193.073,78.083,28,180,23,26,27.482,18.857,118.193,0.839,28.302,21197,47,0.560,-0.700,100.000,21197,30,181,122.005,19.230,1.457,0.686,0.926
45,544,43.846,11.211,47,10,92,444.029,202.147,444.068,202.104,101.640,430,185,26,36,39.248,17.648,116.867,0.662,39.395,23852,44,0.106,0.242,100.000,23852,435,185,113.962,19.230,2.224,0.450,0.877
46,603,75.874,29.668,78,10,146,639.246,201.158,639.269,202.454,91.841,626,187,26,29,29.996,25.596,101.395,0.898,31.385,45752,78,-0.103,-0.751,100.000,45752,633,187,112.479,25.572,1.172,0.853,0.948
